Pais;Tipo de falla;Dias respuesta;Outcome;I pais;I falla
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;2;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;3;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;4;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;5;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;6;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;7;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;8;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;9;0;4;7
Peru;LED LINES;10;0;4;7
Peru;LED LINES;10;0;4;7
Peru;LED LINES;10;0;4;7
Peru;LED LINES;11;0;4;7
Peru;LED LINES;11;0;4;7
Peru;LED LINES;12;0;4;7
Peru;LED LINES;13;0;4;7
Peru;LED LINES;13;0;4;7
Peru;LED LINES;13;0;4;7
Peru;LED LINES;14;0;4;7
Peru;LED LINES;16;0;4;7
Peru;LED LINES;18;0;4;7
Peru;LED LINES;18;0;4;7
Peru;LED LINES;19;0;4;7
Peru;LED LINES;20;0;4;7
Peru;LED LINES;22;0;4;7
Peru;LED LINES;37;0;4;7
Peru;LED LINES;6;1;4;7
Peru;LED LINES;1;1;4;7
Peru;LED LINES;15;1;4;7
Peru;LED LINES;1;1;4;7
Peru;LED LINES;2;1;4;7
Peru;LED LINES;3;1;4;7
Peru;LED LINES;3;1;4;7
Peru;LED LINES;3;1;4;7
Peru;LED LINES;4;1;4;7
Peru;LED LINES;4;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;5;1;4;7
Peru;LED LINES;9;1;4;7
Peru;LED LINES;10;1;4;7
Peru;LED LINES;11;1;4;7
Peru;LED LINES;12;1;4;7
Peru;LED LINES;13;1;4;7
Peru;LED LINES;13;1;4;7
Peru;LED LINES;14;1;4;7
Peru;LED LINES;15;1;4;7
Peru;LED LINES;17;1;4;7
Peru;LED LINES;17;1;4;7
Peru;LED LINES;18;1;4;7
Peru;LED LINES;19;1;4;7
Peru;LED LINES;22;1;4;7
Peru;LED LINES;27;1;4;7
Peru;LED LINES;31;1;4;7
Guatemala;LED LINES;2;0;5;7
Republica Dominicana;LED LINES;4;0;6;7
Republica Dominicana;LED LINES;7;0;6;7
Republica Dominicana;LED LINES;19;0;6;7
Nicaragua;LED LINES;4;0;8;7
Ecuador;LVDS WIRE;1;0;1;8
Ecuador;LVDS WIRE;1;0;1;8
Ecuador;LVDS WIRE;1;0;1;8
Ecuador;LVDS WIRE;1;0;1;8
Ecuador;LVDS WIRE;1;0;1;8
Ecuador;LVDS WIRE;2;0;1;8
Ecuador;LVDS WIRE;2;0;1;8
Ecuador;LVDS WIRE;3;0;1;8
Ecuador;LVDS WIRE;3;0;1;8
Ecuador;LVDS WIRE;3;0;1;8
